term_str,year,n,p,i,p_yr,i_yr,n_chars,modified_term_str
the,2013,3045,0.01625248190610389,5.943196141774187,0.06354871024292512,3.9759933445605093,3,the
of,2013,1810,0.009660752791477187,6.693648672597315,0.037774438600884884,4.726445875383637,2,of
and,2013,1433,0.007648540745959564,7.030599760305737,0.029906503046998916,5.0633969630920586,3,and
in,2013,1206,0.006436943572663806,7.2794084626677975,0.025169045830202855,5.312205665454119,2,in
to,2013,967,0.005161297209590299,7.598050575091041,0.0201811503464396,5.630847777877363,2,to
a,2013,782,0.0041738722005166635,7.9043978572605305,0.016320227064028716,5.937195060046852,1,a
for,2013,451,0.0024071820491470782,8.698439031312502,0.009412304866850322,6.731236234098823,3,for
with,2013,377,0.002012212045517624,8.957001941299218,0.007867935553885968,6.98979914408554,4,with
is,2013,373,0.0019908623155917076,8.972390834312645,0.007784456131563569,7.005188037098966,2,is
were,2013,369,0.001969512585665791,8.987945648507486,0.007700976709241172,7.020742851293808,4,were
by,2013,362,0.0019321505582954375,9.015576767484678,0.007554887720176977,7.048373970270998,2,by
that,2013,348,0.00185742650355473,9.072479158719155,0.007262709742048585,7.105276361505476,4,that
from,2013,341,0.0018200644761843764,9.10179472554371,0.007116620752984389,7.134591928330032,4,from
are,2013,302,0.001611904609406691,9.277017915242803,0.006302696385341013,7.3098151180291255,3,are
was,2013,290,0.0015478554196289417,9.335513564552947,0.006052258118373821,7.36831076733927,3,was
as,2013,278,0.0014838062298511924,9.396481581844375,0.005801819851406628,7.4292787846306965,2,as
at,2013,256,0.001366382715258652,9.515422654567882,0.005342683028633442,7.548219857354204,2,at
on,2013,253,0.0013503704178142147,9.532429079873573,0.005280073461891644,7.565226282659894,2,on
this,2013,248,0.0013236832554068192,9.561226344181007,0.005175724183988647,7.594023546967329,4,this
species,2013,202,0.00107816136125878,9.857211171816088,0.004215710827281075,7.8900083746024094,7,species
coral,2013,188,0.0010034373065180725,9.960833802890246,0.0039235328491526835,7.9936310056765665,5,coral
be,2013,180,0.0009607378466662396,10.023569558238208,0.003756574004507889,8.05636676102453,2,be
each,2013,176,0.0009393881167403232,10.055991035930585,0.0036730945821854912,8.088788238716907,4,each
between,2013,168,0.0008966886568884904,10.123105231789122,0.003506135737540696,8.155902434575443,7,between
data,2013,155,0.0008273020346292619,10.239298249293645,0.0032348276149929043,8.272095452079967,4,data
we,2013,140,0.0007472405474070753,10.386139637622916,0.0029217797812839136,8.418936840409238,2,we
an,2013,138,0.0007365656824441171,10.406898197789713,0.002880040070122715,8.439695400576035,2,an
not,2013,137,0.0007312282499626379,10.417390571607356,0.0028591702145421153,8.450187774393678,3,not
these,2013,133,0.0007098785200367215,10.460140219066693,0.0027756907922197177,8.492937421853014,5,these
rates,2013,133,0.0007098785200367215,10.460140219066693,0.0027756907922197177,8.492937421853014,5,rates
which,2013,131,0.0006992036550737633,10.481999653030432,0.002733951081058519,8.514796855816753,5,which
populations,2013,128,0.000683191357629326,10.515422654567882,0.002671341514316721,8.548219857354205,11,populations
soil,2013,123,0.0006565041952219304,10.572908149228642,0.002566992236413724,8.605705352014965,4,soil
or,2013,123,0.0006565041952219304,10.572908149228642,0.002566992236413724,8.605705352014965,2,or
have,2013,122,0.0006511667627404513,10.584685317004997,0.0025461223808331246,8.617482519791318,4,have
microbial,2013,121,0.0006458293302589722,10.596559417293289,0.0025252525252525255,8.62935662007961,9,microbial
using,2013,115,0.0006138047353700975,10.669932603623508,0.002400033391768929,8.70272980640983,5,using
more,2013,115,0.0006138047353700975,10.669932603623508,0.002400033391768929,8.70272980640983,4,more
h,2013,108,0.0005764427079997438,10.760535152404413,0.002253944402704733,8.793332355190735,1,h
