year,term_str,n,p,i,p_yr,i_yr
2013,the,4963,0.009661751107217599,6.693499596144618,0.05909670044414808,4.080778607354188
2013,of,3106,0.006046624811407992,7.369654221054438,0.03698455603053072,4.756933232264007
2013,and,2631,0.005121915608117974,7.609100802275849,0.0313285147831057,4.996379813485419
2013,in,2310,0.004497006862315666,7.7968191991383184,0.027506221645372166,5.184098210347888
2013,to,1710,0.0033289531318440647,8.230715725668478,0.020361748490730046,5.617994736878048
2013,a,1306,0.002542463619993186,8.619557153895308,0.01555113656660435,6.006836165104877
2013,for,808,0.0015729790237017569,9.312284852689944,0.009621223848251391,6.699563863899513
2013,is,690,0.001343261790042342,9.540043783776207,0.00821614412783844,6.927322794985777
2013,were,674,0.0013121136905630993,9.57389155425988,0.00802562484371465,6.96117056546945
2013,that,631,0.0012284031732126344,9.66900014045919,0.0075136042676319644,7.056279151668759
2013,by,614,0.001195308317515939,9.708401490071559,0.007311177528250438,7.095680501281129
2013,from,588,0.0011446926558621696,9.770823990605374,0.007001583691549279,7.158103001814943
2013,with,570,0.0011096510439480216,9.815678226389634,0.006787249496910015,7.202957237599204
2013,was,550,0.0010707159195989682,9.867208527029717,0.006549100391755278,7.254487538239286
2013,are,496,0.0009655910838565241,10.016300025054864,0.005906097807837487,7.403579036264433
2013,on,492,0.0009578040589867134,10.0279818301025,0.005858467986806539,7.415260841312069
2013,as,488,0.0009500170341169027,10.039758997878852,0.0058108381657755925,7.427038009088422
2013,species,461,0.0008974546162456807,10.1218733950124,0.005489336873816697,7.50915240622197
2013,this,441,0.0008585194918966272,10.185861489884218,0.00525118776866196,7.573140501093787
2013,at,398,0.0007748089745461625,10.33387171489809,0.004739167192579274,7.721150726107659
2013,be,343,0.0006677373825862657,10.548431569268926,0.004084257153403746,7.935710580478496
2013,we,335,0.0006521633328466443,10.582479050096604,0.003988997511341851,7.969758061306173
2013,each,283,0.0005509320095391055,10.825838092609857,0.003369809837939534,8.213117103819426
2013,or,281,0.0005470384971042002,10.836070015220812,0.00334599492742406,8.223349026430382
2013,have,270,0.0005256241787122207,10.893680738390907,0.0032150129195889546,8.280959749600477
2013,between,268,0.0005217306662773154,10.904407144983967,0.003191198009073481,8.291686156193537
2013,data,264,0.0005139436414075048,10.926102216083285,0.0031435681880425336,8.313381227292854
2013,not,259,0.0005042098603202414,10.953688047755184,0.0030840309117538493,8.340967058964754
2013,these,232,0.0004516474424490193,11.112515340314166,0.0027625296197949538,8.499794351523736
2013,which,223,0.0004341266364919453,11.169596435521434,0.0026553625224753218,8.556875446731004
2013,an,216,0.0004204993429697766,11.21560883327827,0.0025720103356711636,8.60288784448784
2013,populations,193,0.0003757239499683652,11.378039298173658,0.0022981388647432158,8.765318309383227
2013,coral,188,0.0003659901688811019,11.415907483764101,0.0022386015884545314,8.803186494973671
2013,using,186,0.0003620966564461965,11.431337524333708,0.0022147866779390576,8.818616535543278
2013,more,185,0.00036014990022874386,11.439114874925426,0.002202879222681321,8.826393886134996
2013,soil,182,0.00035430963157638583,11.462701695243043,0.00216715685690811,8.849980706452612
2013,all,178,0.00034652260670657516,11.49476290447534,0.0021195270358771627,8.88204191568491
2013,but,177,0.0003445758504891225,11.50289078535874,0.0021076195806194256,8.89016979656831
2013,other,175,0.00034068233805421714,11.51928522360941,0.0020838046701039522,8.90656423481898
2013,also,174,0.0003387355818367645,11.52755283959301,0.002071897214846215,8.91483185080258
2013,than,172,0.00033484206940185917,11.544231580739641,0.0020480823043307413,8.93151059194921
2013,our,171,0.00033289531318440646,11.552643820555842,0.0020361748490730046,8.93992283176541
2013,been,163,0.0003173212634447851,11.621768181210662,0.0019409152070111097,9.00904719242023
2013,can,161,0.0003134277510098798,11.639579457327121,0.001917100296495636,9.026858468536691
2013,it,161,0.0003134277510098798,11.639579457327121,0.001917100296495636,9.026858468536691
2013,change,160,0.00031148099479242714,11.648568240554376,0.001905192841237899,9.035847251763945
2013,has,156,0.00030369396992261646,11.68509411657949,0.0018575630202069516,9.07237312778906
2013,rates,154,0.0002998004574877111,11.703709794746837,0.0018337481096914778,9.090988805956407
2013,two,154,0.0002998004574877111,11.703709794746837,0.0018337481096914778,9.090988805956407
2013,study,153,0.00029785370127025844,11.713108492749086,0.001821840654433741,9.100387503958656
2013,population,150,0.0002920134326179004,11.741677644945858,0.0017861182886605303,9.128956656155427
2013,most,149,0.00029006667640044776,11.751327814979577,0.0017742108334027934,9.138606826189147
2013,used,147,0.0002861731639655424,11.770823990605374,0.0017503959228873198,9.158103001814943
2013,there,143,0.0002783861390957317,11.81062499866335,0.0017027661018563722,9.19790400987292
2013,may,142,0.00027643938287827906,11.820749215937056,0.0016908586465986355,9.208028227146626
2013,their,139,0.00027059911422592104,11.85155526271823,0.0016551362808254247,9.2388342739278
