term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
above,-0.13316701,-0.15372251,0.07731112,0.021494925,0.16326457,0.07060551,-0.015318677,-0.06160474,-0.15296948,0.034095086,-0.15785235,0.041036766,0.11026605,0.17359178,0.0024261272,0.0043037157,0.042331703,-0.029587025,0.05004209,-0.01580599,0.023803089,0.11518811,-0.028028538,0.16456455,0.027618868,0.014992581,-0.009212268,0.07649001,0.061695248,0.07611245,0.016156396,-0.0030294107,-0.009426776,-0.009607844,0.10925969,0.124237835,0.003130143,-0.08706501,-0.08889126,-0.01352611,-0.10043247,-0.045092016,-0.25117642,0.03906995,0.07830062,-0.13348538,0.19579306,-0.32927787,-0.107931845,0.049438626,0.20333138,0.05680116,-0.030392522,0.15034395,-0.0017744383,0.07372693,-0.033229645,-0.16617379,-0.28373596,0.027865509,-0.11780222,-0.039215513,-0.03675615,0.018882971,-0.25003842,0.09058427,0.05858736,0.17258434,-0.12052333,0.173171,-0.017888373,-0.04033443,-0.029635137,-0.10507734,-0.13636109,0.21803698,0.34374285,-0.023588335,-0.2293388,-0.1970056,0.1118439,0.059535738,0.10607813,0.016342403,-0.38410568,0.04089199,-0.23965503,0.091474146,0.15884715,0.23882976,-0.023286326,-0.10762626,0.09340724,0.050024133,-0.003395037,-0.10986649,0.17172849,-0.09671072,0.31594664,0.25076425,-0.1006415,-0.046852726,-0.1761772,-0.008160422,0.039526902,-0.14046851,-0.1425482,0.05625369,-0.17641945,-0.11031736,0.19049795,0.017402796,0.04276443,-0.19292024,0.13884215,-0.006828229,-0.01592966,-0.47085044,0.1070703,-0.19271739,0.14108723,-0.04550319,0.07644153,-0.100018404,-0.070096664,0.27441835,-0.26454446,-0.10120676,0.13849612,-0.30192184,0.08351005,0.094009586,-0.20107451,-0.056988064,0.22528066,0.29382768,0.06998112,-0.13625008,-0.100401826,-0.15040581,0.15591742,-0.19486882,0.1780501,-0.23671861,-0.04322361,-0.20423181,-0.025471447,-0.07043934,-0.04098578,0.03800694,-0.0006930213,-0.10294632,-0.03956722,0.09944485,-0.17580302,0.40080318,0.14068036,0.2509538,0.003145988,-0.20972416,-0.0026750364,0.20171519,-0.016092326,0.14606687,0.020413736,0.09931552,-0.044705056,-0.25390184,-0.061297625,0.09013599,-0.010949294,-0.053058006,-0.102761276,-0.10956772,0.22299592,-0.19293553,0.012158697,-0.09637641,0.18396537,0.04980526,-0.21939889,-0.055908076,0.14433149,-0.03143553,-0.14968513,0.086447164,0.025833864,0.08401397,0.15805237,0.0068579325,0.11073895,0.10842976,0.13143823,0.12769747,0.08709422,0.06755235,0.07957108,0.13424045,-0.11454787,0.00738095
described,0.2982378,-0.0010927572,0.17540477,0.15743738,0.36660406,-0.19731581,-0.05636053,0.37839124,-0.45179793,0.025924174,-0.15472014,-0.1336491,0.088328354,0.35461187,-0.113802366,-0.043472692,0.0490184,0.063501246,-0.031367745,-0.41718742,0.25396344,0.009013317,-0.25800762,0.33032063,-0.3322106,0.07895557,-0.28784928,-0.011401511,0.00069093716,0.18929449,-0.045160707,0.27225542,0.0026744434,-0.107606664,0.09983149,0.3535469,0.10095101,-0.06981357,-0.14416176,-0.25601807,-0.327016,0.098501585,-0.34854072,0.15213746,0.24549243,-0.023264686,0.08216039,-0.27407324,-0.030954244,0.30059144,0.10060573,0.04259736,0.04154134,0.15656511,0.34441397,-0.09554828,-0.15509017,-0.35054883,-0.21521528,0.08419215,-0.23081894,0.027696151,-0.18623768,-0.19490117,-0.36541945,0.113560796,-0.02580266,0.13625708,-0.13947129,0.24643837,-0.0854514,-0.100503296,0.12529787,-0.0799425,0.08955638,0.30250624,0.2788947,-0.064843684,-0.25263986,-0.30386734,0.086598255,-0.01140424,0.021672668,0.12942393,-0.24507025,0.15751691,0.09066943,0.23785083,0.44261515,0.3822254,0.12530206,-0.021020029,0.12623273,0.20118783,-0.094188735,-0.17142355,-0.07755471,-0.074656814,0.20546938,0.035776716,0.2296553,0.054607645,0.04610789,-0.06586105,0.06296768,-0.1350598,-0.1455855,0.057762064,0.013698803,0.041574087,-0.11777897,-0.09382218,-0.16706818,-0.13481088,0.0007487359,0.11775777,-0.14465839,-0.3221155,-0.026123136,-0.3453398,-0.076407716,-0.10159269,-0.16828945,-0.43215173,-0.0728281,0.08521165,-0.16308847,-0.13063066,0.120958276,-0.35360834,0.20075826,-0.055658627,0.06525299,-0.05086901,-0.0021039927,-0.014174322,0.027586598,-0.13338873,0.011339681,-0.30241343,0.06599175,-0.14026904,0.065307386,-0.1961484,0.0642886,-0.23866749,-0.029845908,0.03328628,-0.026477112,0.28758308,-0.11102437,-0.20284677,0.0423868,0.18635447,-0.18739922,0.4480528,-0.004443381,0.08470694,0.016456816,-0.12200184,-0.06305814,0.052153707,-0.18587546,-0.08733512,0.2291058,0.2953496,0.23088574,-0.11739936,0.11121221,0.16523898,-0.15794933,0.0444847,-0.08318409,0.03693557,0.15977402,0.032065094,-0.12628867,-0.02874752,-0.045255844,0.15566675,-0.08600788,0.25954255,-0.12505217,0.0302135,0.12541428,0.13606481,0.3216078,-0.109140225,0.05262153,-0.030947281,0.082711235,-0.00015573032,-0.13800222,0.013433692,-0.042627048,0.108433306,0.059645716,0.27528363,-0.10835331,0.11867205
multiple,0.24719056,0.058345612,-0.020628637,0.12823714,0.18055248,-0.010006339,0.0646936,0.33258972,-0.13124412,0.0006275603,0.0033883213,-0.16647252,0.044967722,0.13799529,-0.13297124,-0.0859653,0.040609233,-0.012920584,0.026174745,-0.16934137,0.24648306,0.029429145,-0.15180118,0.045704022,0.03201566,-0.039221026,-0.22772245,-0.020019902,-0.08205916,0.15467824,-0.015335687,0.013256274,0.062280882,-0.18619356,-0.025554981,0.24835342,0.0566577,-0.12676203,-0.16672626,-0.20790264,-0.2456094,0.082103804,-0.049363934,-0.021117972,0.098924,-0.08395789,-0.066229425,-0.038872566,-0.15090421,0.2646648,0.024790667,-0.08733301,-0.11300058,0.012606161,0.31159082,-0.07218138,0.018637126,-0.2909445,-0.09385567,0.013278843,0.011714881,0.06256276,0.016902024,-0.19046567,-0.22151105,0.0584403,-0.23668669,0.30045316,-0.034948412,0.12218231,0.0821311,0.018761143,0.23081933,-0.10895432,0.31610188,-0.09006557,0.17118761,-0.12150566,-0.27815676,-0.15690798,-0.16786997,-0.054510932,-0.18131398,0.14594385,-0.08456684,0.052429132,0.12889987,0.017292526,0.22112775,0.067529865,0.08488401,-0.018450992,0.10320384,0.16169444,0.10069341,0.14779493,-0.14500903,-0.09973722,0.060784508,0.047473546,-0.027701002,0.0018497356,0.02016203,-0.020562544,-0.0001394779,-0.22548912,0.00995702,0.1919584,-0.02528571,-0.16172993,-0.14758766,-0.24117813,-0.04544074,0.047690783,0.27146286,0.07503647,0.059918366,-0.36662006,0.06959779,-0.17207234,0.015850075,0.045635268,0.050950065,-0.24281034,-0.10721719,0.11606925,-0.11490488,0.04805139,0.07278568,-0.13959117,0.23909242,-0.008805953,-0.031067256,-0.22800998,-0.0076108114,0.019960593,0.10646335,-0.06062984,-0.06540598,-0.1673313,0.015462903,-0.115197346,-0.0022561143,-0.2636375,-0.1115325,-0.024859173,-0.10454137,0.14962325,-0.018380206,0.15812615,0.10224609,-0.04923537,-0.038620967,0.102123916,-0.42005602,0.29159895,0.09934096,0.137485,-0.0004207634,0.0909446,0.066176996,0.038891673,-0.037988346,-0.04896254,0.08433418,0.15081139,0.12260812,-0.116148435,0.09702105,0.16866857,-0.11876475,0.1919747,0.088617526,0.10588982,0.13552572,0.050346144,-0.18319558,-0.035900656,0.035609297,0.03139203,0.104554825,0.194473,-0.107463315,0.020704912,0.13923214,0.14176488,-0.11287278,0.079596035,-0.122362114,0.14661147,0.17642651,-0.031441275,-0.2038784,-0.08675544,0.030756256,0.08063769,0.10814317,-0.011314959,-0.24246253,-0.030158825
30,-0.58192587,-0.29576427,0.19346555,0.17813924,0.22322567,0.21928264,-0.14425176,0.27672896,-0.24520333,0.09188502,-0.2525836,-0.36863673,-0.022635814,0.22637372,-0.13652983,-0.1334894,0.0054716393,-0.13203451,-0.039389107,0.40451238,0.060692802,0.40390167,0.24224643,0.4380546,0.53529537,0.0940391,-0.19375694,0.116109334,0.26439998,0.20919812,-0.17131461,-0.11514772,0.15537977,-0.24312973,0.0969381,0.2763611,0.052030258,-0.44633618,-0.4037975,0.03720297,-0.48913598,-0.019626705,-0.32538497,-0.052668262,0.15924427,-0.58192277,0.4949636,-0.2983659,-0.0996166,0.15176113,0.21372734,0.376216,0.01201589,0.40416735,0.059516337,-0.11698673,0.1388754,-0.13899718,-0.13952287,0.030071102,-0.15254204,-0.054835,-0.19677062,-0.067746475,-0.02856459,-0.025001839,0.037444938,0.2902468,0.14923331,-0.07387601,0.073573485,-0.06968119,-0.30831784,-0.15401892,-0.48148298,0.4884495,0.4380558,-0.1618017,-0.24209613,-0.46282622,0.20395064,0.04369573,0.37815335,-0.18965477,-0.6558557,0.048824105,-0.65520126,0.106420144,-0.0014963244,0.23738731,-0.35723004,-0.1995141,-0.09275522,-0.060370054,0.16341187,0.09337245,0.193506,-0.0895395,0.37144473,0.33396828,-0.6020675,-0.06544757,-0.5126623,-0.044876084,0.33323818,-0.2825808,-0.1302865,0.16758275,-0.40263784,-0.3875313,0.44834223,0.040799826,0.11223697,-0.12007217,0.44015166,-0.02606388,-0.025779506,-0.53826743,0.27554047,-0.0963191,0.27429697,-0.16392732,0.4214764,0.04244375,0.030413972,0.40853962,-0.4499449,0.0320601,0.18168253,-0.40596545,0.07794929,0.19415292,-0.55705106,-0.05610503,0.27428564,0.4652067,0.32108593,-0.1743308,-0.028692532,0.011789975,0.19507834,-0.19777232,0.24977057,-0.2706529,-0.3112697,-0.09812984,0.34331948,-0.13741527,-0.054139696,-0.24169156,0.19411714,-0.12907355,0.05770265,0.2429093,-0.030634291,0.35158604,0.19584817,0.301339,-0.25233102,-0.22410749,0.036640707,0.31195858,0.16824903,0.049081713,-0.3771554,-0.01676314,-0.2034805,-0.37168682,-0.24319987,0.23412336,0.123061925,-0.20064732,-0.13286504,-0.11941715,0.24529934,-0.23468997,-0.1926255,0.03602455,0.27507555,-0.06596269,-0.21068743,-0.29620418,0.19892168,-0.06791546,-0.44810274,0.006692491,-0.27038258,0.11059923,0.14369258,-0.12994465,0.314917,0.17729716,0.5714655,0.1474644,0.31393883,0.17706223,0.49855843,-0.15265916,-0.33580175,0.030502897
x,-0.43887818,-0.2694083,0.14520416,0.15785533,0.33265325,0.08944789,-0.18257117,0.1562609,-0.1260032,0.365851,-0.43783084,-0.3944135,-0.03938738,0.30492246,-0.24449979,-0.14844662,0.16626282,-0.02913715,-0.027125977,0.38615194,0.15157588,0.23332144,0.052659154,0.38742566,0.19545689,0.34774044,-0.19404295,0.25723937,0.09085811,0.41588557,-0.02585789,-0.15170069,0.08022903,-0.04608945,-0.07588024,0.2762231,0.17237823,-0.12267164,-0.33242577,-0.12237497,-0.4638503,0.011855705,-0.28699982,-0.12911367,0.23669432,-0.421297,0.44242477,-0.48614675,-0.34376496,0.05498185,0.12807189,0.33791772,0.049616773,0.261709,0.0037157254,0.17385913,0.20419976,-0.38702646,-0.15354979,-0.15782408,-0.1534412,-0.024514845,-0.3391523,0.22661494,-0.03499156,0.001508772,0.23691729,0.32474115,0.019641919,0.15434708,0.17550084,-0.037905406,-0.14677815,-0.12694362,-0.42573106,0.51063454,0.39900666,-0.10825847,-0.39503366,-0.4857275,0.16680811,0.074862756,0.40895528,-0.16607386,-0.6677738,0.03811443,-0.764849,0.14602764,-0.06234491,0.15326479,-0.20890132,-0.3047305,0.12069657,0.026431344,0.10734779,-0.11078943,0.2958351,0.027728125,0.20223166,0.33393523,-0.40543202,0.117259115,-0.32052597,-0.105786726,-0.028340256,-0.31790665,-0.24912378,0.33709553,-0.23382844,-0.34361514,0.3919037,0.09130167,0.07764599,-0.14642039,0.2999973,0.014126407,-0.23141675,-0.7835153,0.3767845,-0.252269,0.3237356,-0.2163243,0.14591995,0.04001894,0.024500905,0.49752977,-0.33136648,-0.15252979,0.42374468,-0.47574657,-0.10288481,0.184229,-0.2960568,0.13695495,0.31176782,0.45518827,0.16577175,-0.34397924,-0.11652738,-0.16102195,0.24056515,-0.36305702,0.29510075,-0.40404052,-0.07709447,-0.12208903,0.2451621,-0.22246422,-0.070246175,-0.0039691976,-0.008285228,0.06637993,-0.07625182,0.16461957,0.1389701,0.25490704,0.013101641,0.19146559,-0.25508815,-0.3137598,-0.054207318,0.28912005,0.17427434,0.038891364,-0.20456666,-0.13722073,-0.08315891,-0.3788215,-0.23979443,0.31189197,0.29116333,-0.3610585,-0.03347649,-0.284676,0.4330535,-0.13710614,0.12172746,-0.1285074,0.18554117,-0.06836106,-0.3791464,-0.18575616,0.15680844,-0.08248161,-0.4055066,-0.04411489,-0.049826454,0.036400944,0.117506444,-0.024318386,0.29781327,0.02946257,0.39655966,0.27267438,0.2153622,0.13626051,0.20709579,-0.09538844,-0.3062137,0.210952
loss,-0.039113272,0.021908108,0.07164251,0.0027962849,0.078757435,-0.00940938,-0.07443837,0.27788192,-0.03945994,0.024668379,0.04783062,-0.13009453,0.013143411,0.013624174,-0.013377324,-0.027696455,-0.11497299,0.017505545,-0.05829231,-0.062167913,0.08406953,0.120617904,0.2029671,0.13776188,0.067962416,0.034914695,0.00080023974,0.04697077,0.0430185,0.10729934,-0.02240065,-0.1323978,0.23266983,-0.19044653,-0.06582687,0.11856432,-0.07268813,-0.1210673,-0.059210595,-0.15601712,-0.0694834,0.013731777,-0.18720046,0.07829465,0.20338304,-0.18689558,-0.047516935,-0.037361432,0.04390211,0.09390053,-0.041317154,-0.09023856,-0.008062916,-0.057258602,0.12547387,-0.14032221,0.06311761,-0.06083936,0.09586246,-0.09905826,-0.024953125,0.015020965,-0.036557827,-0.08834716,-0.1794558,0.013149895,-0.038538627,0.13115118,-0.10718087,0.03960062,0.03888062,-0.00843171,0.1947056,-0.0019045048,0.047969148,0.15316433,0.1808346,-0.050231356,-0.295618,-0.20446303,-0.009205187,-0.08108298,0.024244154,0.029969899,-0.02925934,0.065061666,-0.0778044,-0.028086718,-0.15651305,-0.14485571,-0.03703829,-0.022798609,0.102614015,0.08995623,0.16784535,0.18694872,-0.0463543,-0.147199,-0.0513276,0.06173524,-0.10229359,0.28065655,-0.059295695,-0.036865976,0.06451514,-0.2886804,0.023295762,0.30709094,-0.17998464,-0.2399104,-0.042635497,-0.13699555,0.08000882,0.018032754,0.36858127,-0.024115978,0.06593928,-0.34679425,0.081820995,-0.06894,0.12042499,0.07464724,0.23980626,-0.10607752,0.004596652,0.113995306,-0.21582931,0.17093766,0.10372314,-0.09493566,0.07759334,-0.004273336,-0.05341588,-0.061436743,0.1865102,0.17886606,0.084567346,-0.049031153,-0.030606305,0.027158432,0.07637743,-0.2478894,-0.073165074,-0.1540675,-0.26213396,0.08592825,0.023293318,0.088791825,0.043011196,-0.00698154,0.07989617,0.072389096,0.12950908,0.14326015,-0.33075076,0.18157762,0.15295878,0.15381631,0.09773421,0.053952552,0.25188032,0.15037015,-0.027391726,-0.07174268,0.0091103865,0.23942983,-0.051298387,-0.14529872,-0.21517491,0.123689,-0.27913317,0.25469196,0.13095286,-0.036153752,-0.015267577,0.18695162,-0.25216186,-0.013051563,0.2603008,0.09475198,0.12265136,0.061817583,0.051981438,0.069850154,0.04776221,0.12463412,-0.25762618,0.15228727,0.1517791,0.05035305,0.17908321,-0.0815152,-0.1036921,-0.15313652,0.1605141,-0.10440435,0.092605986,-0.17823914,-0.25002426,-0.11864729
overall,0.05892419,-0.02888984,-0.06337108,-0.051503748,0.047988907,-0.0030145817,0.028719183,0.0057056285,-0.0073872968,-0.02517921,0.024827441,0.045989797,0.03312417,0.029603913,0.012815223,0.025817718,-0.02409524,0.03669075,-0.14749974,-0.13049911,-0.11208547,-0.04051802,0.1449621,0.012373638,-0.09069544,0.05386265,0.087712646,-0.0082534775,-0.0934887,0.054358628,0.049660753,-0.034685176,0.037225984,-0.092415705,-0.06820491,0.053067446,-0.10308774,-0.050261866,0.03474209,-0.18535496,0.012447429,-0.03516781,-0.045990225,-0.14338703,0.16779529,-0.018871035,-0.064918704,-0.1157512,0.03564976,0.07621265,-0.12828936,-0.2113317,-0.058135707,-0.05385308,0.085641496,-0.14994165,0.0070530795,-0.13364603,-0.15250951,-0.032680742,-0.030171992,-0.06587417,0.11025584,0.023999194,-0.21384077,0.059408493,0.08171051,0.09448011,-0.12129453,0.17036055,0.15053537,0.12022775,0.19218418,-0.09436983,-0.0009895393,-0.01580469,0.2581698,-0.021408958,-0.2092101,-0.18679173,-0.009505749,-0.18580008,-0.13945664,0.033596903,-0.0012320556,-0.019071547,0.025588939,-0.13014823,-0.019415524,0.026996944,0.002334709,0.036457203,0.17244771,0.115922675,0.14829026,0.035177696,0.16462936,-0.11168751,0.26981148,0.057764515,-0.018511452,0.23922764,-0.083287396,-0.109973304,0.050326765,-0.2920907,0.101351395,0.28199568,-0.15228848,-0.15917529,-0.028708596,-0.06568439,0.054563712,0.0023086418,0.20595415,0.09620029,0.08621811,-0.3914698,0.09254797,-0.094973564,0.08762082,0.18742132,0.1716507,-0.12031597,-0.1334089,0.1981109,-0.16446286,-0.054960344,0.084849454,-0.21842028,0.16067177,-0.078228265,-0.05630491,-0.17454776,0.13911039,0.21730968,-0.10552272,0.026979623,-0.04344991,-0.08912585,0.12444251,-0.21868272,0.0074905157,-0.13867159,-0.16721286,0.08311199,-0.13788737,-0.0011281029,0.08135284,-0.0020291319,0.06670547,0.031008208,0.054962907,0.0048992657,-0.39367846,0.29207078,0.20472233,0.1495629,0.09439115,0.03425059,0.18532309,0.108630724,-0.07005837,-0.03833201,0.31756166,0.2595977,-0.08006841,-0.19116041,-0.08670197,0.11922564,-0.19825464,0.2078609,0.11013282,-0.008281219,0.16652495,-0.017450219,-0.17586407,-0.048950758,0.36519578,0.15778606,-0.013947321,0.123888806,0.014964206,0.033785697,0.077013694,-0.011331914,-0.08510747,0.18290462,0.29125085,0.07436586,0.076032184,-0.028923362,-0.20224929,-0.19965988,0.10245593,-0.020627202,-0.081980705,-0.15165105,-0.057444666,-0.015901424
type,0.005422009,-0.034487803,-0.0028420298,-0.14589049,0.1286484,0.028544515,0.040617127,0.2138818,-0.010615601,-0.07664717,0.17601661,-0.013904979,0.025707036,0.016793117,0.003553643,0.07493635,-0.052448425,0.08040767,-0.096758306,-0.16755478,-0.10904762,0.08273886,0.11210841,0.06305977,-0.12633878,0.08189419,0.15870468,-0.05363576,0.042529393,0.103791066,-0.017086538,-0.053681903,0.107257694,-0.091005825,-0.06559753,0.025005022,-0.08417988,-0.029753597,0.041670136,-0.15456039,0.03632362,-0.043989852,-0.10029176,0.038253065,0.23161887,-0.020850724,0.009013132,-0.060745373,0.0729978,0.009181565,-0.08717921,-0.11511387,0.013817716,-0.00836234,0.02057748,-0.12969023,0.0887389,-0.03250124,0.018983832,-0.043226823,-0.007806063,0.009562478,0.06563686,-0.006780135,-0.23182032,-0.0069616116,0.15359902,0.038470637,-0.14793605,0.056488495,0.14115949,0.048252743,0.19957538,-0.044518802,-0.009447197,0.14076547,0.3207157,-0.049818,-0.26614827,-0.26759264,0.108734325,-0.107173316,-0.043194715,-0.037409335,0.02291275,0.037257127,0.010114112,-0.024448914,-0.103194155,0.030924635,-0.035580833,0.067499004,0.17754811,0.15444492,0.17289843,0.010053771,0.23701116,-0.18965103,0.16187558,0.08217089,-0.017862942,0.3392691,-0.07046018,-0.16285484,0.012319877,-0.22297958,0.0475181,0.25977078,-0.17075832,-0.17060536,-0.009435789,-0.085945606,0.092475,0.00130547,0.23222725,0.07356076,-0.030552546,-0.36594567,0.12882055,-0.17115293,0.13800457,0.104445785,0.23739548,-0.17588025,-0.18461047,0.15113474,-0.19459428,-0.037059072,0.13328718,-0.11379243,0.12088104,-0.11214794,0.027767334,-0.10943658,0.13009953,0.21869922,0.004509813,-0.03508517,0.03123271,-0.062902905,0.04919211,-0.33804715,-0.004551474,-0.14132115,-0.22969791,0.06470883,-0.047928017,-0.05177336,0.07824703,-0.056543346,-0.00800293,0.03795849,0.08040549,0.032153416,-0.28276968,0.26759622,0.19152525,0.12596983,0.078708276,-0.047720112,0.19467014,0.22415277,-0.17276403,0.015688643,0.21056433,0.29996088,-0.06913616,-0.17046155,-0.19616595,0.033917237,-0.24935275,0.15916249,0.09848818,-0.032471497,0.1585659,0.044906635,-0.25637123,-0.07642236,0.34305725,0.13540837,-0.049240835,-0.009203476,0.069617465,0.08656437,0.035055008,-0.019201733,-0.09986126,0.118789956,0.38645107,0.039314497,0.03958978,-0.07816157,-0.1495083,-0.1775579,0.1399066,-0.09104111,-0.07512116,-0.13405393,-0.08223357,0.010705847
technology,0.37142587,0.0006431442,-0.008905656,-0.17976823,0.28096226,-0.22342901,-0.111577824,0.41947767,-0.10927796,-0.07658067,-0.025944965,-0.059545748,-0.071908444,0.02425748,-0.12202679,0.019532237,-0.09932241,0.16583124,0.0023991643,-0.5659426,0.121971175,0.032289755,-0.09622914,0.24369083,-0.36910552,0.24466571,-0.008006159,0.1451369,-0.10653186,0.030825237,0.2546711,0.19051842,0.17435193,-0.21454234,-0.1666049,0.19187807,-0.07127458,0.33079422,0.087690465,-0.47849816,0.0089765,0.14205338,-0.27574494,0.18973653,0.22822277,0.2155368,-0.25641492,-0.11470156,0.009716591,0.35959533,-0.17200787,-0.097747855,0.11832823,-0.11047487,0.3992867,-0.1818313,0.10425565,-0.19947968,-0.06997909,-0.2483346,-0.2510284,-0.02809255,-0.06654919,-0.22664921,-0.3964681,0.10613534,0.048721135,0.03201812,-0.3230409,0.25360513,0.12288263,0.09699006,0.36048886,0.0151518155,0.32538438,-0.0018640107,0.1318832,0.0070941,-0.46565014,-0.28247344,-0.18445054,-0.10545259,-0.27248803,0.0047756317,0.15993834,0.14080897,0.40102932,0.16939925,-0.059253953,0.20241557,0.09731146,0.11231449,0.31626517,0.25948492,0.07441789,-0.08327952,0.16779143,-0.083827674,0.041751266,-0.2333921,0.1262082,0.40589184,0.15933178,-0.24107456,0.017794315,-0.51680773,0.015583314,0.3435064,0.086677745,-0.059584383,-0.3826186,-0.27565196,-0.11756387,0.19624902,0.11054409,0.16787617,-0.031007705,-0.45477936,-0.03946079,-0.52375144,-0.06568015,0.14533661,0.018897828,-0.56861335,-0.031037811,0.07408486,-0.103099525,0.10531352,0.044846993,-0.1284892,0.23897623,-0.31214437,0.3957391,-0.035325244,0.029482896,0.08375245,-0.08323762,-0.05423064,0.04983616,-0.15028432,-0.017916583,-0.39369997,-0.18704005,-0.2019402,-0.17192163,0.16341466,-0.12013164,0.089156374,0.017853709,0.32873878,-0.057141226,0.022346945,0.20609343,0.15537576,-0.6513596,0.46351632,0.26711148,0.0844635,0.13575007,0.058809098,0.33109757,-0.03720712,-0.2668844,-0.14989002,0.22916952,0.3084827,0.16475852,0.116853006,0.032328684,0.30118567,-0.26624677,0.21996671,0.37262362,0.15233989,-0.029458543,0.24611098,-0.21925214,-0.043363433,0.14115936,0.29010084,-0.027513336,0.38452852,-0.02931484,0.11593499,0.29785278,0.106079705,0.0016540862,0.04122332,0.24534464,0.15079677,0.11004542,-0.2971647,-0.2603367,-0.08773848,-0.098573595,-0.0038578098,-0.13874787,0.013509842,-0.062586926,0.076066464
drought,0.029761732,0.08098666,0.10369626,0.074732095,0.12595199,-0.003114068,-0.07764976,0.28306937,-0.1350299,0.16326007,-0.078872845,-0.21188216,-0.010846397,0.09215103,-0.12459152,-0.08102008,-0.16014549,0.031595692,-0.1780765,-0.11097015,0.13035697,-0.0080567775,0.12429594,0.32998434,-0.05738037,0.03923636,-0.10493289,0.11830369,-0.089585304,0.10558728,0.019992629,-0.026967935,0.21096215,-0.20561936,-0.08949487,0.1812216,-0.039692823,-0.035190783,-0.12302434,-0.23802873,-0.13553768,0.115758434,-0.1409335,-0.013505243,0.23428227,-0.13649939,-0.11718116,-0.114685,0.115883596,0.25605258,-0.028382776,-0.09219125,-0.05857845,-0.04572856,0.1849074,-0.1420712,0.02817194,-0.16525094,-0.0057969075,-0.17379166,-0.13230933,-0.027456546,-0.07473425,-0.13023114,-0.22042412,-0.031538263,-0.076321244,0.10389976,-0.09268744,0.05486566,0.055482216,0.017833395,0.10415305,-0.015115185,0.14414246,0.107197426,0.17113428,-0.06922538,-0.28223056,-0.17702034,-0.10614856,-0.16637732,-0.014134397,0.06143666,-0.12271907,0.101699375,-0.08018342,-0.061269935,-0.06000116,-0.014390391,-0.028252104,-0.02244228,0.15451641,0.11402301,0.17653404,0.04444562,-0.027606921,-0.07716377,-0.023530066,-0.057222683,-0.10445525,0.23235022,0.045534667,-0.06358086,0.14430021,-0.28455412,0.06602385,0.28527313,-0.083455436,-0.08079011,-0.1490043,-0.11795576,-0.022065884,0.04507651,0.277896,-0.010783821,0.031264354,-0.22097279,0.024285005,-0.11822501,0.033983376,0.073845424,0.13289756,-0.17697315,0.048534885,0.11084284,-0.21250439,0.07260677,0.05658162,-0.1269739,0.0686765,-0.02863132,0.077349775,-0.11003358,0.10953084,-0.059826173,-0.04041275,-0.048438344,0.0046401857,-0.030618368,0.10170603,-0.17379145,-0.071054496,-0.088563964,-0.114741206,0.03281729,0.0065469863,0.07143229,-0.00081378553,0.054993276,0.033867348,0.008746438,0.075067446,0.13091394,-0.31949294,0.23163775,0.055339888,0.08914642,0.10849603,0.13810162,0.28742507,0.06459281,-0.0083260555,-0.1495299,0.066945195,0.23641075,0.031055316,-0.14151344,-0.09379792,0.13158204,-0.1963443,0.3019503,0.12028404,-0.0669806,-0.040355995,0.13604447,-0.1934031,0.09213623,0.17201224,0.10744098,0.1136441,0.21279348,-0.022878632,0.031854257,0.10781042,0.110172935,-0.07923148,0.08524092,0.020265875,-0.016064217,0.15359576,-0.12537102,-0.16584425,-0.21713084,0.11668501,-0.0060818987,0.06906776,-0.1477841,-0.16996406,-0.06195958
