term_str,PC0,PC1,PC2
0,0.0010058532428141465,0.00036731638586039324,-0.0008130124425392235
00,-5.087284883996732e-05,-4.243549395047898e-07,3.302341668919519e-05
000,-9.466540654519499e-05,-4.034020342858401e-05,-7.297540216112382e-05
0000007,-3.012800090208417e-05,-1.3729019923718264e-05,-4.321252425017697e-05
000003,0.002216192523032788,-0.0010155542692658994,-0.00014471905575801436
0000042,-3.471266450612245e-05,5.3834256268878265e-06,-3.880412754096131e-05
00001,-0.00017370548136360283,-0.00010929632751047167,-0.000222217256971697
0000152,-1.6061056939057287e-05,1.4656051468316928e-05,-8.848903005283403e-06
00002,-1.606105693904609e-05,1.4656051468301378e-05,-8.848903005243616e-06
00003,-0.0002066593787378171,-0.000154353294865805,-0.00025454598978721536
0000383,0.0001593828431237712,0.0001783283539973491,0.00042584084540722174
00004,-6.56114558800832e-05,-5.192950652030456e-05,-7.878033833278383e-05
00005,1.5669664085838768e-05,-1.1694721152447144e-05,1.437741067521039e-05
00006,-4.419251902196034e-05,-3.289036876860522e-05,-9.41153732679909e-05
00007,-6.561145588008349e-05,-5.192950652030433e-05,-7.878033833278503e-05
00008,-0.00013122291176017223,-0.00010385901304061282,-0.00015756067666557633
0001,0.001641152355196281,0.0027486022819670614,-0.0003815448018785338
00010,-1.6061056939042827e-05,1.4656051468301238e-05,-8.848903005207e-06
000100,-5.200833116979454e-05,-2.711024209858846e-06,-4.634641361222799e-05
000109,-7.731530649551637e-05,-5.085719284207463e-05,-9.643710483262812e-05
000128,0.0022161925230327856,-0.0010155542692659003,-0.00014471905575794537
00013,0.004432385046065613,-0.0020311085385318196,-0.00028943811151589346
000131,0.000159382843123771,0.0001783283539973494,0.00042584084540722136
000133,0.000159382843123771,0.0001783283539973494,0.00042584084540722136
00017,1.7077298609622502e-05,1.5807864988494266e-05,-2.4581280983073747e-05
000178,0.000159382843123771,0.0001783283539973494,0.00042584084540722136
0002,-8.503541654879975e-05,-0.00012748361456120082,-0.0001231693648788705
00021,-1.6061056939042827e-05,1.4656051468301238e-05,-8.848903005207e-06
00022,-2.6455067143075815e-05,1.4791559524414786e-05,-3.912510616328274e-05
00025,-2.6455067143075815e-05,1.4791559524414786e-05,-3.912510616328274e-05
00028,-1.4248076736488972e-05,-7.955507559211971e-06,-4.998194300643002e-06
0003,0.00010893373769594884,0.0003240093508714842,-8.929379024597192e-05
00031,-4.1548193063413715e-05,-2.5472008951407767e-05,-4.015337292461566e-05
00032,-1.6061056939042827e-05,1.4656051468301238e-05,-8.848903005207e-06
00033,-3.212211387808657e-05,2.931210293660329e-05,-1.7697806010414522e-05
00039,-1.1415398841574662e-05,-3.301440539351752e-05,-1.5334451591180814e-05
0004,-7.152632140814994e-05,-3.389587118165749e-05,-8.346739330716279e-05
00041,1.7077298609622502e-05,1.5807864988494266e-05,-2.4581280983073747e-05
00045,-1.8166465880031474e-05,-1.874106033014718e-05,-1.8890101897418336e-05
00046,-2.9514889548535092e-05,-2.4308418042518342e-05,-2.1751361175435177e-05
0005,-0.000202793879053471,-0.00013509849490059392,-0.00023272012975047226
00051,-1.6061056939042827e-05,1.4656051468301238e-05,-8.848903005207e-06
000561,-2.014165488421594e-05,-1.2842749961000885e-05,-1.7432474138957336e-05
0006,-0.00012772964461758447,-4.0803994999464794e-05,-0.0001437585515121716
00066,-2.7223540726771996e-05,-2.1745893318394046e-05,-2.6327681071218784e-05
0007,0.0021394013387857963,9.899753792664148e-05,-0.00030541218957132746
00074,-4.2369915262565316e-05,-5.697312320677398e-06,-4.098521181765221e-05
