year,doc_id,PC0,PC1,PC2
2013,47,-0.08349659718378379,-0.06127236105560462,-0.048375836753225175
2013,4,0.04639438921985723,0.019053389171144446,1.8705220085861096
2013,18,-0.08501835404823313,-0.04376715195023293,-0.09339992464521164
2013,24,-0.03036684133371209,-0.01617295939431229,-0.011393085582882108
2013,66,-0.05771044857073175,0.008548130213667286,-0.04808858678360974
2013,13,-0.03407720529401609,-0.018458767619375233,-0.009675772510282177
2013,9,0.1116791359790293,0.0016798205873974896,0.12784618666104333
2013,49,0.09971708529868178,0.08957585487768872,0.15131470159360652
2013,34,0.0018480689627739825,0.03300762480061031,-0.01114044871348314
2013,42,-0.027846504647590604,0.019165429426632,-0.0014353323427996353
2013,17,-0.07621319950600179,-0.0431543899518357,-0.044155650330118076
2013,60,-0.08501243560738864,-0.03439363102439031,-0.07162545696627413
2013,69,-0.04837591263962206,-0.03322934572428739,-0.03115440718797196
2013,10,-0.09467817602049546,-0.06815236956075989,-0.07630446058074661
2013,21,-0.050244617035846456,0.04503591252297485,-0.01883587110246981
2013,61,0.037053621286174156,0.036170920743692124,-0.03696766885439006
2013,36,-0.07119508698442914,-0.054131614918507764,-0.06413898304102333
2013,85,-0.038570624788604645,0.07541989018337794,-0.05801595163320897
2018,3,-0.047062735300250014,0.01806610545755084,-0.0031428914543964125
2018,16,0.020284699361135878,0.006490399046209519,0.039474736209960413
2018,56,-0.1013956906045157,-0.0772715533198392,-0.08632589674674959
2018,30,0.04866916245958577,-0.11164501637352865,-0.027137606246670887
2018,43,0.11816443515178418,0.33170329228391854,-0.04439538905172831
2018,64,-0.03134801379046486,-0.0280389130215722,0.006768344266514179
2018,41,-0.08823691872463485,-0.03442315120472028,-0.08633385063305204
2018,62,-0.07294072781230747,-0.05728158026651374,-0.06778252779484599
2018,78,-0.07850707965122938,-0.028139846697759256,-0.08927034761093698
2018,89,-0.019259707529612802,0.006691164260954771,-0.004740662768403418
2018,40,-0.06228447951169784,-0.03900863314542107,-0.0446552767419544
2018,77,0.003840603211405788,0.02432473337212139,0.05063285788746316
2018,84,-0.03953506404722779,-0.010969424675612311,-0.046988827225937904
2018,71,-0.03981601367560985,-0.0316644884284086,-0.030146764761405476
2018,7,-0.006284102509292398,-0.026688013784440096,-0.05802230185019326
2018,63,-0.12024387192271539,-0.07762001447338819,-0.1239880318314805
2018,72,-0.041883507472136636,-0.03504273258446124,-0.02399058236039213
2018,74,-0.09007220120235436,-0.052019492972122015,-0.07455834587403459
2018,32,0.09009565766481163,-0.10228703597096962,-0.03447654562459194
2018,44,-0.08480128339678755,-0.06649442132901169,-0.06791433505765404
2018,35,-0.0957803476238878,-0.05670769435771533,-0.08296428899633686
2018,8,-0.005773259227856236,0.05312110742372315,0.07997235054505371
2018,45,-0.08361154921167907,-0.05628580387681132,-0.08343758871434859
2018,68,-0.03388892682983447,-0.035107685360242176,-0.0744776305996217
2018,0,-0.08010732734568686,-0.04799072581664491,-0.062496505996353764
2018,2,0.24728541398309478,0.42125830516437673,0.14806807849642203
2018,15,-0.0600560584157958,-0.04176806419502804,-0.02733164346077063
2018,51,-0.07516453121772687,-0.04565916471576813,-0.025395879946368098
2018,38,-0.07476400378276608,-0.040512478301765686,-0.07369598300005285
2018,22,0.053533758733999556,0.14123095046212097,0.14714634304773766
2018,86,2.3122215482293345,-1.0417464733841697,-0.12714477260577237
2018,59,-0.06736102630329248,-0.06305762572468912,-0.08922331946166506
2018,73,0.08155565198744111,-0.16308735481112915,-0.07863530524339166
2018,81,0.00625802795354471,0.027683289522206514,0.08874041786025459
2018,27,-0.1117831791354593,-0.0747281295119128,-0.07377530974619155
2018,75,-0.0972137186095441,-0.07872906048208526,-0.09122367782128608
2018,55,-0.07402394290776243,-0.01531538499142727,-0.07486886016599328
2023,50,-0.0903977406804158,-0.05445076542537752,-0.0650590747332553
2023,14,-0.0794673868720741,-0.05290566896568957,-0.030993003404187612
2023,29,-0.050583542629537265,0.004726268548381368,-0.03852748670659464
2023,57,-0.024070252518306384,0.027536609481545505,0.38104646522920027
2023,90,-0.05120570685155646,-0.022375383923831333,-0.03906336654050416
2023,91,0.00015735957565884097,0.14001782921568134,0.05984471950120547
2023,53,-0.06779507361252603,-0.002999840814233331,-0.038324063702247904
2023,70,-0.09790306162369139,-0.07616833129207064,-0.09771372397114389
2023,6,-0.09707314970841234,-0.08202175591945098,-0.08900568687075375
2023,67,-0.06333216099675501,-0.04755552390958619,-0.058072030916806176
2023,46,-0.06287625549878154,-0.08531723501327869,-0.05901750744708957
2023,54,-0.08480202551943995,-0.07240317976095431,-0.10567530302367849
2023,58,-0.08867626358569387,-0.03977028879015013,-0.1044460596834373
2023,76,-0.025167270223274293,-0.03333006312519397,0.0046924611115553745
2023,52,-0.049909774176683276,-0.0638173322939613,-0.03847782702836684
2023,80,-0.06682818912101567,-0.042300584042624566,-0.06317146509252422
2023,20,-0.06549373799755606,0.035738252696795716,-0.07880290741022003
2023,87,0.044730263337239735,-0.03598858149522334,0.020587118147981035
2023,88,-0.09359547804222179,-0.07824111592413664,-0.09728290638196412
2023,25,-0.06694535228911108,-0.04442602385417677,-0.07807514152695612
2023,23,-0.06746201346968102,-0.05171993556699317,-0.054880759519257576
2023,83,0.1849608310773213,0.20476763358260586,0.43281197320972703
2023,1,0.9224889759822748,2.183354042330204,-0.3012811722763892
2023,19,-0.07149983510955664,-0.048724788157021866,-0.05986856641296382
2023,26,-0.04804212065631818,0.002956014263516672,-0.041083236869993656
2023,31,-0.040212236929237456,0.004675759273307262,-0.041835969501021975
2023,65,-0.09866303438498461,-0.07868804827546579,-0.07132165232688294
2023,37,-0.035340052338170704,-0.05282708031876203,-0.04682457054045612
2023,48,-0.016412501130594715,0.02504334309036465,0.0657943512972678
